|id|price|ean|wartosci_odzywcze|title
0|88607|2.69 zł|5902136817550|{'Wartość energetyczna ': '1700 kJ/400 kcal', 'Tłuszcz ': '0 g', 'w tym:': '', '- kwasy tłuszczowe nasycone ': '0 g', 'Węglowodany ': '100 g', '- cukry ': '100 g', 'Białko ': '0 g', 'Sól ': '0 g', 'metadata': 'w 100 g produktu'}|Cukier Królewski Cukier Biały 1 Kg
1|1822|3.29 zł|5900766000076|{'Wartość energetyczna ': '1484 kJ/350 kcal', 'Tłuszcz ': '1,5 g', ' w tym kwasy tłuszczowe nasycone': '0,4 g', 'Węglowodany ': '71 g', ' w tym cukry ': '2,2 g', 'Błonnik ': '2,2 g', 'Białko ': '12 g', 'Sól ': '<0,01 g', '*Referencyjna wartość spożycia dla przeciętnej osoby dorosłej (8400 kJ/2000 kcal).': '', 'Opakowanie 1 kg zawiera 8 porcji.': '', 'metadata': 'w 100 g\nw jednej porcj 125 g\n% referencyjnych wartości spożycia w 125 g*'}|Polskie Młyny Mąka Szymanowska Pszenna Uniwersalna Typ 480 1 Kg
2|3122|1.29 zł|00228||Rogalik Croissant -Wypiek Własny
3|69354|7.19 zł|5900020019592|{'Energia': '382 kcal', 'Tłuszcz ': '1,4 g', '- w tym: kwasy nasycone ': '0,5 g', 'Węglowodany ': '82,9 g', '- w tym: cukry ': '9,3 g', 'Błonnik ': '4,2 g', 'Białko ': '7,4 g', 'Sól ': '1,44 g', 'Witaminy': '100 g (%)*', 'B2/Ryboflawina': '1,41 mg (101%)', 'B3/Niacyna ': '14,0 mg (88%)', 'Witamina B6 ': '1,23 mg (88%)', 'B9/Kwas foliowy ': '168 µg (84%)', 'B5/Kwas pantotenowy ': '3,88 mg (65%)', '*% referencyjnej wartości spożycia dla dorosłych wg rozporządzenia UE Nr 1169/2011.': '', '**półtłustego': '', 'To opakowanie zawiera około 8 porcji 30-gramowych. ': '', 'Dostosuj wielkość porcji do swoich potrzeb.': '', 'metadata': '100 g\n30 g\n30 g + 125 ml mleka półtłustego**'}|Nestlé Corn Flakes Płatki Śniadaniowe 600 G
4|5713|23.98 zł|8711000513767||Jacobs Cronat Gold Kawa Rozpuszczalna 200 G
5|57756|7.48 zł|5900012000232|{'Wartość energetyczna ': '370 kJ/90 kcal', 'Tłuszcz /  w tym:': '10,0 g', '- kwasy nasycone ': '0,8 g', '- jednonienasycone ': '6,6 g', '- wielonienasycone ': '2,7 g', 'Węglowodany ': '0 g', '- w tym cukry ': '0 g', 'Białko ': '0 g', 'Sól ': '0 g', 'Witamina E* [mg]': '2,5 (20,8%**)', 'Witamina K* [µg]': '7,5 (10%**)', 'Kwasy Omega 3': '0,8 g', '*naturalna zawartość': '', '**% dziennych referencyjnych wartości spożycia': '', 'Butelka zawiera 91 łyżek stołowych.': '', 'metadata': '1 łyżka stołowa (10 g)\n100 g'}|Kujawski Olej Rzepakowy Z Pierwszego Tłoczenia 1 L
6|33558|3.88 zł|5900049003022|{'Wartość energetyczna ': '807 kJ / 190 kcal', 'Tłuszcz ': '0,7 g', '- w tym kwasy tłuszczowe nasycone ': '0,2 g', 'Węglowodany ': '38 g', '- w tym cukry ': '0 g', 'Błonnik ': '2,8 g', 'Białko ': '6,6 g', 'Sól ': '0 g', 'metadata': 'w 100 g ugotowanego produktu:'}|Lubella Eliche Makaron Świderki 500 G
7|68308|1.39 zł|5906764646995||Eco+ Ocet Spirytusowy 10%
8|3134|0.25 zł|99213||Kajzerka
9|59659|2.65 zł|5900084241748|{'Wartość energetyczna': '1309/310 (kJ/kcal)', 'Tłuszcz ': '0,8 g', ' w tym kwasy tłuszczowe nasycone ': '0,3 g', 'Węglowodany ': '54 g', ' w tym cukry ': '47 g', 'Białko ': '14 g', 'Sól ': '3,6 g', 'metadata': 'Średnia wartość odżywcza w 100 g produktu:'}|Kamis Suszone Pomidory Z Czosnkiem I Bazylią Mieszanka Przyprawowa 15 G
