id|price|ean|wartosci_odzywcze|title
40449|4.19 zł|5900820000257|{'wartość energetyczna': '3095 kJ/753 kcal', 'tłuszcz w tym': '83 g', '- kwasy tłuszczowe nasycone ': '54 g', 'węglowodany w tym': '0,8 g', '- cukry ': '0,8 g', 'białko ': '0,6 g', 'sól ': '0 g', 'metadata': 'w 100 g'}|Łaciate Masło Ekstra 200 G
9606|2.65 zł|5900820000042|{'wartość energetyczna ': '212 kJ/50 kcal', 'tłuszcz, w tym': '2,0 g', '- kwasy tłuszczowe nasycone ': '1,2 g', 'węglowodany, w tym': '4,8 g', '- cukry ': '4,8 g', 'białko ': '3,3 g', 'sól ': '0,10 g', 'wapń ': '120 mg', '*RWS - Referencyjna wartość spożycia dla przeciętnej osoby dorosłej (8 400 kJ/2 000 kcal). ': '', 'Zawartość soli wynika wyłącznie z obecności naturalnie występującego sodu.': '', 'Opakowanie zawiera 4 sugerowane porcje produktu.': '', 'metadata': 'w 100 ml produktu\nw porcji 250 ml \n%RWS* w porcji 250 ml'}|Łaciate Mleko Uht 2,0% 1 L
81970|2.79 zł|5900512982335|{'Wartość energetyczna': '186 kJ/ 44 kcal', 'Tłuszcz ': '1,5 g', ' w tym kwasy nasycone ': '1,0 g', 'Węglowodany ': '4,7 g', ' w tym cukry ': '4,7 g', 'Białko ': '3,0 g', 'Sól ': '0,10 g', 'Wapń': '105 mg - 13%*', 'Zawartość laktozy < 0,01 g/ 100 ml': '', '*Dzienna Referencyjna Wartość Spożycia wapnia (dla osoby dorosłej).': '', '**Referencyjna Wartość Spożycia dla przeciętnej osoby dorosłej (8400 kJ/ 2000 kcal).': '', 'Opakowanie 1 L zawiera 4 sugerowane porcje produktu.': '', 'Zawartość soli wynika z naturalnie występującego sodu.': '', 'metadata': 'w 100 ml\nw porcji 250 ml\n%RWS w porcji 250 ml'}|Mlekovita Wydojone Mleko Bez Laktozy 1,5% 1 L
42410|6.99 zł|5908306800353||Koźlakiewicz Jaja Z Wolnego Wybiegu Klasa L
2728|1.69 zł|5900531001031|{'Wartość energetyczna ': '794 kJ/192 kcal', 'Tłuszcz ': '18 g', 'w tym kwasy tłuszczowe nasycone ': '12 g', 'Węglowodany ': '4,8 g', 'w tym cukry ': '4,5 g', 'Białko ': '2,7 g', 'Sól ': '0,10 g', 'Zawartość soli wynika wyłącznie z obecności naturalnie występującego sodu.': '', 'metadata': 'w 100 g:'}|Piątnica Śmietana Do Zupy 18% 200 G
62369|3.49 zł|5900531004018|{'Wartość energetyczna ': '485 kJ/ 115 kcal', 'Tłuszcz ': '4,0 g', 'w tym kwasy tłuszczowe nasycone ': '2,4 g', 'Węglowodany ': '3,8 g', ' w tym cukry ': '3,8 g', 'Białko ': '16 g', 'Sól ': '0,11 g', 'metadata': 'w 100 g:'}|Piątnica Twaróg Wiejski Półtłusty 250 G
33983|1.99 zł|5901630000208|{'energia': '578 kJ / 138 kcal', 'tłuszcz ': '5,5 g', 'w tym - kwasy nasycone ': '3,6 g', 'węglowodany ': '15 g', 'w tym - cukry ': '14 g', 'białko ': '7,0 g', 'sól ': '0,10 g', 'metadata': 'produktu w 100 g:'}|Rolmlecz Serek Waniliowy 200 G
1764|1.99 zł|5900531000010|{'Wartość energetyczna ': '406 kJ/97 kcal', 'Tłuszcz ': '5,0 g', 'w tym kwasy tłuszczowe nasycone ': '3,5 g', 'Węglowodany ': '2,0 g', 'w tym cukry ': '1,5 g', 'Białko ': '11 g', 'Sól ': '0,70 g', 'metadata': 'w 100 g:'}|Piątnica Serek Wiejski Naturalny 200 G
29738|3.15 zł|5900531001130|{'Wartość energetyczna ': '794 kJ/192 kcal', 'Tłuszcz ': '18 g', 'w tym kwasy tłuszczowe nasycone ': '12 g', 'Węglowodany ': '4,8 g', 'w tym cukry ': '4,5 g', 'Białko ': '2,7 g', 'Sól ': '0,10 g', 'Zawartość soli wynika wyłącznie z obecności naturalnie występującego sodu.': '', 'metadata': 'w 100 g:'}|Piątnica Śmietana Do Zupy 18% 400 G
29752|4.99 zł|5900512300108|{'Wartość energetyczna ': '3068 kJ/ 746 kcal', 'Tłuszcz ': '82 g', ' w tym kwasy nasycone ': '54 g', 'Węglowodany ': '1,0 g', ' w tym cukry ': '1,0 g', 'Białko ': '1,0 g', 'Sól ': '0,02 g', 'Zawartość soli wynika z obecności naturalnie występującego sodu.': '', 'metadata': 'w 100 g:'}|Mlekovita Masło Polskie Ekstra Bez Dodatków 82% 200 G
62453|11.29 zł|5906190531469||Czachorowski Ekologiczne Jaja Klasa L
9609|2.79 zł|5900820000011|{'wartość energetyczna ': '253 kJ/60 kcal', 'tłuszcz, w tym': '3,2 g', '- kwasy tłuszczowe nasycone ': '2,0 g', 'węglowodany, w tym': '4,7 g', '- cukry ': '4,7 g', 'białko ': '3,2 g', 'sól ': '0,10 g', 'wapń ': '120 mg', '*RWS - Referencyjna wartość spożycia dla przeciętnej osoby dorosłej (8 400 kJ/2 000 kcal). ': '', 'Zawartość soli wynika wyłącznie z obecności naturalnie występującego sodu.': '', 'Opakowanie zawiera 4 sugerowane porcje produktu.': '', 'metadata': 'w 100 ml produktu\nw porcji 250 ml\n%RWS* w porcji 250 ml'}|Łaciate Mleko Uht 3,2% 1 L
71331|2.99 zł|5900512981178||Mlekovita Mleko Wydojone Uht 3,2% Bez Laktozy
62469|2.89 zł|5901939000770|{'Wartość energetyczna ': '210 kJ/50 kcal', 'Tłuszcz ': '2,0 g', 'w tym kwasy tłuszczowe nasycone ': '1,3 g', 'Węglowodany ': '4,8 g', 'w tym cukry ': '4,8 g', 'Białko ': '3,2 g', 'Sól': '0,10 g', 'Wapń': '121 mg / 15% RWS*', '*RWS - referencyjna wartość spożycia dla przeciętnej osoby dorosłej (8400 kJ / 2000 kcal).': '', 'Zawartość soli wynika wyłącznie z obecności naturalnie występującego sodu.': '', 'metadata': 'w 100 ml:'}|Piątnica Mleko Wiejskie Świeże 2,0% 1 L
42161|1.09 zł|4014500006093||Zott Jogobella Jogurt 150 G
42163|1.09 zł|4014500014425||Zott Jogobella Jogurt 150 G
6744|1.55 zł|5900820000158|{'wartość energetyczna ': '212 kJ/50 kcal', 'tłuszcz, w tym': '2,0 g', '- kwasy tłuszczowe nasycone ': '1,2 g', 'węglowodany, w tym': '4,8 g', '- cukry ': '4,8 g', 'białko ': '3,3 g', 'sól ': '0,10 g', 'wapń ': '120 mg', '*RWS - Referencyjna wartość spożycia dla przeciętnej osoby dorosłej (8 400 kJ/2 000 kcal). ': '', 'Zawartość soli wynika wyłącznie z obecności naturalnie występującego sodu.': '', 'Opakowanie 500 ml zawiera 2 sugerowane porcje produktu.': '', 'metadata': 'w 100 ml produktu\nw porcji 250 ml \n%RWS* w porcji 250 ml'}|Łaciate Mleko Uht 2,0% 500 Ml
14507|1.55 zł|5900820000066|{'wartość energetyczna ': '253 kJ/60 kcal', 'tłuszcz, w tym': '3,2 g', '- kwasy tłuszczowe nasycone ': '2,0 g', 'węglowodany, w tym': '4,7 g', '- cukry ': '4,7 g', 'białko ': '3,2 g', 'sól ': '0,10 g', 'wapń ': '120 mg', '*RWS - Referencyjna wartość spożycia dla przeciętnej osoby dorosłej (8 400 kJ /2 000 kcal). ': '', 'Zawartość soli wynika wyłącznie z obecności naturalnie występującego sodu.': '', 'Opakowanie 500 ml zawiera 2 sugerowane porcje produktu.': '', 'metadata': 'w 100 ml produktu\nw porcji 250 ml\n%RWS* w porcji 250 ml'}|Łaciate Mleko Uht 3,2% 500 Ml
61513|7.79 zł|5900512990569|{'Wartość energetyczna ': '3068 kJ / 746 kcal', 'Tłuszcz ': '82,0 g', 'w tym kwasy nasycone ': '54,0 g', 'Węglowodany ': '1,0 g', ' w tym cukry ': '1,0 g', 'Białko ': '1,0 g', 'Sól ': '0,2 g', 'metadata': 'w 100g'}|Mlekovita Masło Ekstra Osełka 300 G
152|4.29 zł|5900311000360|{'Wartość energetyczna ': '2965 kJ / 721 kcal', 'Tłuszcz ': '80 g', 'w tym kwasy tłuszczowe nasycone ': '28 g', 'Węglowodany ': '<0,5 g', 'w tym cukry ': '<0,5 g', 'Białko ': '<0,5 g', 'Sól ': '0,15 g', 'Witamina A ': '900 µg (113%*)', 'Witamina D ': '7,5 µg (150%*)', '*% referencyjnych wartości spożycia': '', 'metadata': '/ 100 g'}|Mr Słynne Roślinne Margaryna 500 G
79917|3.19 zł|4014500509822||Zott Jogobella Jogurt 400 G
79906|3.19 zł|4014500509839||Zott Jogobella Jogurt 400 G
104738|1.25 zł|5906040063089|{'wartość energetyczna ': '280 kJ/67 kcal', 'tłuszcz ': '3,1 g', '- w tym kwasy tłuszczowe nasycone ': '2,1 g', 'węglowodany ': '4,0 g', '- w tym cukry ': '4,0 g', 'białko ': '4,8 g', 'sól ': '0,17 g', 'wapń ': '120 mg (15%*)', '* Dzienna referencyjna wartość spożycia (dla osób dorosłych)': '', 'metadata': 'Przeciętna wartość odżywcza w 100 g:'}|Zott Primo Jogurt Naturalny 180 G
61906|4.15 zł|5902899101637|{'Wartość energetyczna ': '959 kJ/ 232 kcal', 'Tłuszcz ': '20 g', 'w tym kwasy tłuszczowe nasycone ': '14 g', 'Węglowodany ': '6,2 g', 'w tym cukry ': '2,7 g', 'Białko ': '6,7 g', 'Sól ': '0,45 g', 'Opakowanie zawiera 10 porcji produktu po 15 g.': '', 'metadata': 'w 100 g\nw porcji (15 g)'}|Almette Śmietankowy Puszysty Serek Twarogowy 150 G
80353|1.79 zł|5900197022371|{'Wartość energetyczna ': '410 kJ/97 kcal', 'Tłuszcz ': '2,5 g', 'w tym kwasy nasycone ': '1,8 g', 'Węglowodany ': '15,5 g', 'w tym cukry ': '14,5 g', 'Białko ': '3,3 g', 'Sól ': '0,10 g', 'metadata': '100 g jogurtu'}|Bakoma Jogurt Bio Z Morelami 140 G
272|3.89 zł|8000430133035|{'Wartość energetyczna ': '989 kJ / 238 kcal', 'Tłuszcz ': '18 g', 'w tym kwasy tłuszczowe nasycone ': '13 g', 'Węglowodany ': '2,0 g', 'w tym cukry ': '1,0 g', 'Białko ': '17 g', 'Sól ': '0,70 g', 'metadata': 'w 100 g'}|Galbani Ser Mozzarella 125 G
1238|3.99 zł|5900691031039|{'wartość energetyczna ': '550 kJ / 131 kcal', 'tłuszcz ': '7,5 g', 'w tym kwasy tłuszczowe nasycone ': '5,3 g', 'węglowodany ': '9,4 g', 'w tym cukry ': '9,4 g', 'białko ': '6,6 g', 'sól ': '0,30 g', 'metadata': 'w 100 g'}|Sm Gostyń Mleko Gostyńskie Zagęszczone Niesłodzone 7,5% 500 G
88028|3.99 zł|5902899140728|{'wartość energetyczna ': '1461 kJ / 352 kcal', 'tłuszcz ': '28 g', 'w tym kwasy tłuszczowe nasycone ': '20 g', 'węglowodany ': '0 g', 'w tym cukry ': '0 g', 'białko ': '25 g', 'sól ': '1,5 g', 'wapń ': '814 mg (102% RWS - Referencyjna wartość spożycia dla przeciętnej osoby dorosłej (8400 kJ/2000 kcal))', 'metadata': 'w 100 g:'}|Hochland Ser Żółty Gouda W Plastrach 135 G
